단계,이름,강화비용,강화확률,판매가격,방지권소모,드랍아이템
0,낡은 단검,500,100%,-,-,-
1,쓸만한 단검,500,98%,200,-,-
2,견고한 단검,"1,000",95%,500,-,-
3,바이킹 소드,"2,000",93%,"1,000",-,-
4,불타는 검,"4,000",90%,"2,000",1개,-
5,냉기의 소드,"7,000",86%,"6,000",1개,-
6,양날 검,"10,000",81%,"15,000",1개,국적불분명 철조각
7,심판자의 대검,"15,000",75%,"25,000",1개,국적불분명 철조각
8,마력의 검,"22,000",70%,"50,000",1개,국적불분명 철조각
9,타우 스워드,"30,000",66%,"90,000",1개,타우의 뼈 부스러기
10,형광검,"30,000",62%,"180,000",1개,빛 바랜 형광물질
11,피묻은 검,"51,000",61%,"500,000",1개,스위스산 철조각
12,화염의 쌍검,"70,000",54%,"1,000,000",1개,스위스산 철조각
13,불꽃 마검,"80,000",50%,"2,000,000",2개,불꽃마검 손잡이
14,마검 아포피스,"100,000",49%,"5,000,000",3개,사악한 영혼
15,데몬 배틀 엑스,"130,000",46%,"10,000,000",4개,도끼 가루
16,투명 검,"170,000",44%,"20,000,000",7개,투명 물질
17,날렵한 용검,"220,000",40%,"44,500,000",9개,-
18,샤이니 소드,"300,000",38%,"72,000,000",10개,-
19,왕푸야샤,"400,000",35%,"120,000,000",12개,-
20,다색검,"650,000",33%,"240,000,000",15개,-
21,템페스트 골드,"850,000",30%,"300,000,000",17개,-
22,샤프 워커,"1,150,000",27%,"400,000,000",20개,-
23,피에로의 쌍검,"1,650,000",27%,"550,000,000",22개,-
24,도룡도,"2,000,000",25%,"750,000,000",23개,-
25,안 강해보이는 검,"3,500,000",35%,"400,000,000",23개,-
26,메두사,"5,000,000",50%,"1,800,000,000",[방지권불가],-
27,오딧세이 소드,"10,000,000",40%,"2,100,000,000",[방지권불가],-
28,모자이칼,"0",15%,판매 불가,[방지권불가],-
29,화염에 달군 검,-,-,-,-,-
